ID	en	nl	de	es	fr	ja	ko	zh-TW	ru	hi
tutorial_dialogue_1	Welcome to RTX Sweeper	Welkom bij RTX Sweeper	Willkommen bei RTX Sweeper	Bienvenido al barrendero RTX	Bienvenue à RTX Sweeper	RTXスイーパーへようこそ	RTX 스위퍼에 오신 것을 환영합니다	歡迎來到RTX掃地機	Добро пожаловать в RTX Sweeper	RTX स्वीपर में आपका स्वागत है
tutorial_dialogue_2	This magnificent world is being threatened by evil	Deze prachtige wereld wordt bedreigd door het kwaad	Diese großartige Welt wird vom Bösen bedroht	Este magnífico mundo está siendo amenazado por el mal	Ce magnifique monde est menacé par le mal	この壮大な世界は悪に脅かされています	이 웅장한 세상은 악에 위협을 받고 있습니다	這個宏偉的世界受到邪惡的威脅	Этот великолепный мир угрожает зло	इस शानदार दुनिया को बुराई से धमकी दी जा रही है
tutorial_dialogue_3	It is your job to protect the world from destruction	Het is jouw taak om de wereld te beschermen tegen vernietiging	Es ist Ihre Aufgabe, die Welt vor Zerstörung zu schützen	Es tu trabajo proteger al mundo de la destrucción.	C'est votre travail de protéger le monde de la destruction	世界を破壊から守るのはあなたの仕事です	세상을 파괴로부터 보호하는 것이 당신의 일입니다	保護世界免受破壞是您的工作	Ваша работа - защитить мир от разрушения	दुनिया को विनाश से बचाना आपका काम है
tutorial_dialogue_4	Your advanced toolkit consists of two items	Uw geavanceerde toolkit bestaat uit twee items	Ihr fortschrittliches Toolkit besteht aus zwei Elementen	Su kit de herramientas avanzado consta de dos elementos	Votre boîte à outils avancée se compose de deux éléments	高度なツールキットは2つのアイテムで構成されています	고급 툴킷은 두 가지 항목으로 구성됩니다	您的高級工具包由兩個項目組成	Ваш расширенный инструментарий состоит из двух предметов	आपके उन्नत टूलकिट में दो आइटम होते हैं
tutorial_dialogue_5	The left and the right mouse button	Links en de rechter muisknop	Die linke und die rechte Maustaste	El botón del mouse izquierdo y derecho	Le bouton gauche et droit de la souris	左と右のマウスボタン	왼쪽 및 오른쪽 마우스 버튼	左鍵和右鼠標按鈕	Левая и правая кнопка мыши	बाएं और दाएं माउस बटन
tutorial_dialogue_6	The combination of the two gives you the power to solve puzzles	De combinatie van de twee geeft je de kracht om puzzels op te lossen	Die Kombination der beiden gibt Ihnen die Kraft, Rätsel zu lösen	La combinación de los dos te da el poder de resolver rompecabezas	La combinaison des deux vous donne le pouvoir de résoudre des énigmes	2つの組み合わせにより、パズルを解く力が与えられます	이 둘의 조합은 퍼즐을 풀 수있는 힘을줍니다.	兩者的結合使您有能力解決難題	Сочетание двух дает вам возможность решить головоломки	दोनों का संयोजन आपको पहेलियों को हल करने की शक्ति देता है
tutorial_dialogue_7	With the left mouse button you can reveal a tile	Met de linkermuisknop kunt u een tegel onthullen	Mit der linken Maustaste können Sie eine Fliese angeben	Con el botón izquierdo del mouse puedes revelar un azulejo	Avec le bouton de la souris gauche, vous pouvez révéler une tuile	左マウスボタンを使用すると、タイルを表示できます	왼쪽 마우스 버튼을 사용하면 타일을 공개 할 수 있습니다.	使用左鼠標按鈕，您可以顯示一個瓷磚	С левой кнопкой мыши вы можете раскрыть плитку	बाएं माउस बटन के साथ आप एक टाइल प्रकट कर सकते हैं
tutorial_dialogue_8	The right mouse button plants a flag	De rechter muisknop plant een vlag	Die rechte Maustaste steckt eine Flagge	El botón derecho del mouse planta una bandera	Le bouton droit de la souris plante un drapeau	右のマウスボタンが旗を植えます	오른쪽 마우스 버튼은 깃발을 심습니다	正確的鼠標按鈕植物旗幟	Правая кнопка мыши сажает флаг	सही माउस बटन एक झंडा लगा देता है
tutorial_dialogue_9	With flags you can mark the location of a mine	Met vlaggen kunt u de locatie van een mijn markeren	Mit Flags können Sie den Ort einer Mine markieren	Con banderas puedes marcar la ubicación de una mina	Avec des drapeaux, vous pouvez marquer l'emplacement d'une mine	フラグを使用すると、鉱山の位置をマークできます	깃발로 광산의 위치를 ​​표시 할 수 있습니다.	使用標誌，您可以標記礦山的位置	С флагами вы можете отметить местоположение шахты	झंडे के साथ आप एक खदान के स्थान को चिह्नित कर सकते हैं
tutorial_dialogue_10	The numbers indicate the amount of adjacent mines	De cijfers geven de hoeveelheid aangrenzende mijnen aan	Die Zahlen geben die Menge an benachbarten Minen an	Los números indican la cantidad de minas adyacentes	Les nombres indiquent la quantité de mines adjacentes	数字は、隣接する鉱山の量を示しています	숫자는 인접한 광산의 양을 나타냅니다	數字表示相鄰地雷的數量	Числа указывают количество смежных шахт	संख्या आसन्न खानों की मात्रा का संकेत देती है
